Team,GP,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
OKC,23,16,7,0.696,48.2,114.7,41.0,89.8,45.6,11.8,35.0,33.8,20.9,26.0,80.1,11.4,32.1,43.6,23.0,12.3,10.7,5.7,5.4,21.5,21.7,8.3
IND,23,15,8,0.652,48.4,114.1,40.8,84.3,48.4,13.2,33.7,39.0,19.3,24.7,78.5,8.1,32.5,40.6,26.4,14.3,8.0,5.7,4.7,23.3,21.6,2.0
MIN,15,9,6,0.6,48.0,109.1,39.5,85.5,46.2,13.3,37.1,35.8,16.9,21.9,77.1,11.7,30.5,42.2,24.2,15.7,7.3,4.7,4.0,20.8,21.0,2.7
CLE,9,5,4,0.556,48.0,119.4,40.9,87.8,46.6,14.9,41.0,36.3,22.8,27.9,81.7,12.3,32.3,44.7,22.9,12.1,8.9,3.6,5.3,18.6,22.0,11.7
NYK,18,10,8,0.556,48.6,109.6,39.4,86.5,45.5,11.1,31.7,34.9,19.7,25.9,76.0,11.8,30.8,42.6,19.8,13.8,7.9,4.7,5.7,20.9,22.8,0.0
BOS,11,6,5,0.545,48.5,105.7,36.7,83.0,44.2,14.2,39.4,36.0,18.1,22.6,79.9,10.8,32.3,43.1,20.0,13.2,6.7,5.4,3.6,19.5,20.1,5.5
DEN,14,7,7,0.5,48.7,107.0,38.6,86.5,44.6,11.9,34.2,34.7,18.0,23.6,76.4,12.3,34.1,46.4,22.6,15.8,7.6,4.2,6.4,19.9,21.1,-4.9
HOU,7,3,4,0.429,48.0,104.0,36.7,82.3,44.6,10.6,28.3,37.4,20.0,28.6,70.0,13.4,33.4,46.9,19.6,13.6,7.9,5.1,4.9,17.7,21.4,0.0
LAC,7,3,4,0.429,48.7,108.3,41.1,84.6,48.6,12.0,33.0,36.4,14.0,19.6,71.5,10.0,29.4,39.4,26.0,12.0,8.0,7.1,3.9,19.3,18.3,0.6
GSW,12,5,7,0.417,48.0,103.1,36.8,85.5,43.1,13.7,38.8,35.3,15.8,20.5,76.8,12.1,28.3,40.3,23.3,14.4,8.9,3.9,5.3,21.2,19.3,-3.0
DET,6,2,4,0.333,48.0,106.7,37.2,82.7,45.0,10.2,31.3,32.4,22.2,27.8,79.6,11.0,32.8,43.8,20.0,16.5,7.2,6.3,5.7,22.8,21.8,-1.3
LAL,5,1,4,0.2,48.0,100.4,34.6,78.8,43.9,13.6,38.8,35.1,17.6,21.2,83.0,9.6,29.4,39.0,21.2,14.6,5.0,5.0,3.6,21.0,20.8,-7.0
MIL,5,1,4,0.2,49.0,110.2,39.8,87.8,45.3,14.4,38.0,37.9,16.2,22.4,72.3,10.4,33.2,43.6,23.8,13.0,6.0,3.6,4.8,19.6,19.2,-7.6
ORL,5,1,4,0.2,48.0,93.6,35.6,84.4,42.2,8.2,31.2,26.3,14.2,20.6,68.9,11.4,28.4,39.8,18.6,11.6,6.4,3.8,4.8,21.4,17.4,-12.8
MEM,4,0,4,0.0,48.0,100.5,36.0,86.8,41.5,10.5,34.5,30.4,18.0,20.5,87.8,10.3,34.0,44.3,20.5,19.3,5.8,6.5,6.8,20.8,18.8,-19.5
MIA,4,0,4,0.0,48.0,95.5,36.3,81.5,44.5,13.8,39.8,34.6,9.3,13.3,69.8,10.0,27.3,37.3,21.3,16.0,4.5,3.0,3.0,17.3,13.3,-30.5